TRADEDATE,close,ret,date_raw,key_rate,inflation,inflation_target
2025-02-05,2930.56,0.0044041388623268,2.2025,21.0,10.06,4.0
2025-02-06,2970.12,0.0134991264468224,2.2025,21.0,10.06,4.0
2025-02-07,2966.53,-0.0012087053721734,2.2025,21.0,10.06,4.0
2025-02-10,3012.39,0.0154591391288811,2.2025,21.0,10.06,4.0
2025-02-11,3018.02,0.001868947911791,2.2025,21.0,10.06,4.0
2025-02-12,3025.63,0.0025215207321356,2.2025,21.0,10.06,4.0
2025-02-13,3206.97,0.0599346251854984,2.2025,21.0,10.06,4.0
2025-02-14,3185.0,-0.0068507033118487,2.2025,21.0,10.06,4.0
2025-02-17,3308.41,0.0387472527472527,2.2025,21.0,10.06,4.0
2025-02-18,3258.76,-0.0150072089009523,2.2025,21.0,10.06,4.0
2025-02-19,3270.64,0.003645558433269,2.2025,21.0,10.06,4.0
2025-02-20,3292.62,0.0067203972311229,2.2025,21.0,10.06,4.0
2025-02-21,3283.29,-0.0028336097089854,2.2025,21.0,10.06,4.0
2025-02-24,3303.63,0.0061950056193635,2.2025,21.0,10.06,4.0
2025-02-25,3326.14,0.0068137170324762,2.2025,21.0,10.06,4.0
2025-02-26,3276.0,-0.0150745308375473,2.2025,21.0,10.06,4.0
2025-02-27,3232.65,-0.0132326007326006,2.2025,21.0,10.06,4.0
2025-02-28,3200.48,-0.0099515877066802,2.2025,21.0,10.06,4.0
2025-03-03,3145.73,-0.0171068089786532,3.2025,21.0,10.34,4.0
2025-03-04,3241.63,0.0304857695987894,3.2025,21.0,10.34,4.0
2025-03-05,3263.62,0.006783624287781,3.2025,21.0,10.34,4.0
2025-03-06,3207.7,-0.0171343477488188,3.2025,21.0,10.34,4.0
2025-03-07,3166.88,-0.0127256289553261,3.2025,21.0,10.34,4.0
2025-03-10,3200.81,0.0107140150558278,3.2025,21.0,10.34,4.0
2025-03-11,3200.95,4.373892858366979e-05,3.2025,21.0,10.34,4.0
2025-03-12,3183.97,-0.0053046751745575,3.2025,21.0,10.34,4.0
2025-03-13,3121.57,-0.0195981746059163,3.2025,21.0,10.34,4.0
